,Shape,Mu Max,Coordinates
0,Truncated Tetrahedron,1.0142411796524000,"[-0.09939563931629658, -0.196360352984267, 3.141592653593739, 3.926990816989365, 0.2304416129354543, 4.368168777955628, 2.1343130707697706]"
1,Cuboctahedron,1.014611872353940,"[-1.0692091303537032e-16, 2.9445657954543823e-15, 1.5707963267866778, -0.6154797086708853, 12.042773165916723, 8.639377498682009, -3.757072250345015]"
2,Truncated Cube,1.0281662593892300,"[-7.96577438342578e-15, 1.0760679679651206e-14, 3.336177133688472, 4.7123889803846515, -1.4208912008737196, 5.2154364374154865, 3.7688203310176753]"
3,Truncated Octahedron,1.0144674440026200,"[2.1853296637708192e-16, 8.144220769440943e-16, -3.985691438893965e-13, 3.926990816986979, 0.6016762078843545, 0.8009151905732299, 7.390212864921759]"
4,Rhombicuboctahedron,1.0126792035244700,"[-1.0702544509801742e-13, -4.5594386211806203e-14, 3.1984571438075364, 1.5707963267950897, 3.3601671808253237, 7.29310330914336, 6.577475542653126]"
5,Truncated Cuboctahedron,1.0054345003246800,"[-6.3315037966975394e-18, 9.193778232739939e-17, 1.4692875026332954, 4.712388980384691, 0.9237362310254074, 2.599270530667249, 3.6848165031361453]"
6,Icosidodecahedron,1.0008854278843500,"[1.1089328024302946e-15, 7.74584328492674e-15, -0.06146524034422903, 3.958311783861064, -4.667560291799175, 5.265971997335531, 6.283186071424506]"
7,Truncated Dodecahedron,1.0016143617869500,"[6.553019445613337e-17, -9.12087467649766e-17, 1.593389274595474, 2.7877327612589204, 4.74895864204331, 0.05889969814317886, 6.746718963256858]"
8,Truncated Icosahedron,1.0019651861896000,"[4.3227078171771734e-16, 3.286474730318516e-16, 0.8639269575407427, 0.9891312344517316, -3.1410551075381687, 0.8474618843685778, 0.7281150270272368]"
9,Rhombicosidodecahedron,0.9999999999999540,"[-3.418410337447357e-17, -3.9915330652927725e-16, 4.4346831814154, 2.648966817657478, 1.97809064158181, 1.5707963267957104, 1.1893430313558628]"
10,Truncated Icosidodecahedron,1.0010819583611300,"[-4.95674485133651e-12, -3.8971553725551555e-11, 5.038681386987107, 4.712388980384793, -6.251621044884135, -1.129310257277281, 3.1670047735144298]"
11,Snub Dodecahedron,0.9999999999999580,"[8.549568583224315e-14, -9.283054675763984e-14, 3.954431439154216, 0.49754156400569455, -0.33011412706503185, 6.2355356896751735, 1.0873008315367405]"
12,Snub Cube,0.999999999999998,"[1.695072903985611e-14, 1.5045827426744057e-14, 3.542793071420851, 4.088265771595066, -3.1415926535897247, 2.740392235758654, 2.194919535584452]"
