,Unnamed: 0,Shape,Mu Max,Coordinates,Johnson Suffix
0,80,Square Pyramid (J1),1.17157287494757,"[-3.527549433113286e-10, -0.10355339069005084, 4.712388980384694, 0.7853981633974526, -6.28318530799703, 6.283175461813048, 6.283185310954313]", (J1)
1,71,Pentagonal Pyramid (J2),1.0514622242372,"[-0.2090789962072247, -0.15431880560019096, 4.712388980381109, 5.340707511101685, -1.2528802689780598, 3.092035392886169, 2.9902769571125227]", (J2)
2,81,Triangular Cupola (J3),1.06291722113474,"[-6.530066278858521e-06, 0.17687057054530364, 1.5707963267950278, 3.9269908169873955, 1.301146335685068, 3.9269268665935257, 6.898631399909384]", (J3)
3,77,Square Cupola (J4),1.08239220029239,"[0.0, 0.0, 1.570796326794897, 3.926990816987241, 4.317804665205736, 6.243618452841932, 6.187977612694587]", (J4)
4,64,Pentagonal Cupola (J5),1.05146222423823,"[5.8931303091000244e-15, -4.224955999260323e-15, 5.265963339281713, 5.340707511102652, 1.2553922949019625, 0.5251050367085838, 6.195796496170458]", (J5)
5,72,Pentagonal Rotunda (J6),1.02260015093489,"[-0.1352792088126037, -0.09828609843743583, 2.588018294690655, 0.3141592653580809, 2.4097451644735965, 4.15891365888872, 6.2831282853101325]", (J6)
6,34,Elongated Triangular Pyramid (J7),1.11680429010616,"[0.12504902828002368, 0.016183412368957102, 1.0098204973242809e-12, 3.141592653588153, -2.6179903763160484, 4.6402141785731565, 4.169035505400536]", (J7)
7,29,Elongated Square Pyramid (J8),1.14094375736209,"[0.01951227978077961, 0.0725450717140235, 3.1415926535896888, -1.4398591381555583e-13, 0.075810174395746, 5.184073297033513, 0.5557843616309112]", (J8)
8,24,Elongated Pentagonal Pyramid (J9),1.01346601613707,"[0.02966739854607263, -0.033789511191673845, 3.141592653589942, 3.1415926535897527, 1.5018906021630651, 2.0901523952658767, 5.707830167362869]", (J9)
9,47,Gyroelongated Square Pyramid (J10),1.01031764465665,"[-0.09883892699996295, -0.05348635931572729, 2.900274842294557, 0.5234864177384994, -3.7966732503156004, 6.341281524742458, 5.136177927244421]", (J10)
10,42,Gyroelongated Pentagonal Pyramid (J11),1.01464389123474,"[-0.012413024136351564, -0.024215110568104038, 0.20482885635470585, 0.7379960718168946, -0.8198073981741747, 4.666227235077027, 0.2839217771244332]", (J11)
11,82,Triangular Dipyramid (J12),1.03996342627572,"[-0.015299820817026449, -0.00881415585950851, 3.558073332284376, 0.8366784068410139, 2.9084254425931486, 3.925358993630005, 3.755761278953971]", (J12)
12,65,Pentagonal Dipyramid (J13),1.04361294755322,"[-0.196868641753756, 0.15567059467381208, 3.9207929650673377, 4.712388980383051, -1.069319966904258, 9.739981641216031e-06, 6.2832543008533905]", (J13)
13,31,Elongated Triangular Dipyramid (J14),1.11680433914211,"[-0.12379873911680775, 0.023929710659702397, 3.1415926535897767, 3.141592653589806, -4.774895069601301, 4.749804487976816, 3.1230204777457455]", (J14)
14,27,Elongated Square Dipyramid (J15),1.22474487126618,"[0.0, 0.0, 3.1415926535897776, 3.141592653589757, -4.622253599014966, 1.4555174186044044, 5.49640010289155]", (J15)
15,17,Elongated Pentagonal Dipyramid (J16),1.03570049244074,"[-0.06766404342186269, 0.022127650346478824, 6.283185307179795, 3.1415926535900223, 2.2635363755271363, 4.68932952176421, 0.6324253765606006]", (J16)
16,46,Gyroelongated Square Dipyramid (J17),1.0124580222191415,"[0.007380886977602615, 0.14443471046512749, 6.350685923484961, 3.1188350552332635, 4.269696013652487, 4.764604312604972, 1.3500909311394513]", (J17)
17,30,Elongated Triangular Cupola (J18),1.0398698793557,"[-6.960170172823946e-07, 1.2490838473650672e-06, 3.926990816988282, 3.7570723622613524, 1.5467553689365618, 6.353280784984339, 4.957236846239471]", (J18)
18,26,Elongated Square Cupola (J19),1.03973640093828,"[0.02676820889795815, 0.022054877415728414, 2.156825691658132, 1.5707963267947438, -0.2689095827154906, 5.749052845157352, 6.006932417864708]", (J19)
